id,label,tweet
1,1, ab achanak khawaja saad rafique ko khiyaal aagaya woh bhe peshawar mai is line pai 10 saal sai koi train nahe guzri
2,1," adha drama to censor hi hojaye gaa , khaas tor per basant singh ( babrik shah ) wala part . dramon kay naam change kernay ki koi tuk nahin banti . iss bewaqoofi ki waja samajh main nahin aaye . mushkil hindi naamon wali indian movies bhi to pakistan main release hoti hain , jesay katha , sangharsh , abodh , gaman , andolan , kartavya , avtaar , satyamev jayate , nishaant , aakrosh , akarshan , etc . in mushkil hindi names ko to koi urdu main convert nahin kerta !!! "
3,1," bekaar fuzool end !!!!! moti budhi laila jeet gayee . laila doosri larkiyon ko meesni keh rahi hai , jabkay laila khud sub se bari meesni hai . aliya aur aleena main se koi aik desi kuri ka title win kerti to theek hota . "
4,1, choor kasuri choor jhootay ka moo kaala
5,1, gali gali mein shor hai gaaanjaaaa shair chor hai 
6,1, hum kia aur hamari logic kia bhonkoon k muted bhonk se andaza laganay k koshish kar rahey k in k jhoot mein kitna dam ha . waisey yeah offshore companies ka paisa kehan se aaaaya
7,1, imran khan altaf hussain chachoo haroon ab sadmey sey nikal aao future main jo bhi ho magar ik sahab ney apney aap key saath buhut hi bura kar dala hai is ka ab aney wala waqt hi batayey ga jo agar thori buhut umeed thi woh bhi mutti main mil gai
8,1, lagta ha sab bhonkay hath xaray kar rahay hein k panama se koi tufaan aanay k imkaan nahein tumhari galian beta rehi hein ke tum kitney frustrated hoooo 
9,1, merey bahi tum saye kaha rahey hoo but main tum ku ak cheez clear kardoon mqm kabhi start nahi kartey but haan end zaroor kartey ha its true yar main buhat pashtoons ku janta hoon ju kabhi in cheezoon ku favour nahi kartey but anp ju ha sirf pashtoons ka naam use karkey karachi main drag weapon qabsa or killing kar rahi ha or urdu speaking or pashtoon ku lara rahi ha as a pakistani ham sab ku ak dosra ku accept karna chaye jahan tak mqm key qabsey ki baat ha is sey koi farq nahi pharta ha merey bahi still karachi main sab lug abaad haan or jee rahay haan in sab ka haal sirf ak hi ha ak dafa bagr kasey farq key pura karachi operation kar dye jaye jab tak weapon rahey ga yeh masla chalta rahey ga allaha ham sab key diloon main dusrey key liye mohabaat pada karey
10,1, nawaz khanzaaney ka moun khul chukaa hai sab kha rahy han
11,1, pakistan mai samsung ke jo models new available hain sab cheap models hain note4 b 1 . 9octacore processor wala hai aur sirf 3g support hai . 
12,1, sharifoon ko tau pehley b baray galeez galain detey rahey hein yeh zra late hau gia ha tu phlay apnay baap ki haram ki kamai ka answer do sponsored links
13,1, tu phlay apnay baap ki haram ki kamai ka answer do haram p tau pala hua tu lagta ha baat b seedhi nahein nikalti terey munh se
14,1, tumhari tarhan har koi rooti ko chochi nahin kehta phuddu unko banao jo ban jayen aur yeh pm ho ga tum logon ka sari duniya janti hai kiss tarhan yeh pm bana hai merit per lay kar ao to iski pori family say ek banda bhi 16 grade per bhi naukari hasil na kar sakhe india rooz proxy war say humare logon ko mar raha hay or yeh chaprasi insan k monh main zuban tak nahin jo bol sakhe k bharat shamil hai is sab main apnay log sambhale nahin ja rahe aur yeh arbi pitho chala hay saudia arab ki hifazat karne
15,1, waisey yeah offshore companies ka paisa kehan se aaaaya aaap k ijazat k shukria you tell me waisey yeah offshore companies ka paisa aaaaya kehan se 
16,1, yarr tumhari logic hamesha hi bohat nirali hoti hay pakistan qoom ka almiya hai k jis ki oqat chiprasi ki nahin woh pm ban gaya hai aman sab chahte hain per nechay lag kar nahin ankhon main ankhain dal kar baat karo yeh chaprasi bharat say aisa darta hay jaisay isk ghar ka rashan wahan say ata hai mulk ka pm bana hay karobar ko chor kar pakistani qoom ka soche
17,1, aaap k ijazat k shukria you tell me waisey yeah offshore companies ka paisa kehan se aaaaya jutt riskyy kee pee kay nooray kay haraam pasay kee whisky sooo jaaa neened ayee hai tujay
18,1, bongayyy tren actorz ko apas main milwayee gi :d :d
19,1, bozdil ha amrica
20,1, iphone 6 kisi kaam ka nhi hai apne pese zaia nhi karo 
21,1, moral values tou khatam hi ho gaey hain hum main
22,1, patwari ka koi biyan nai aaya aik dalal ka biyan jo us nae kashif abbasi k program mae diya ha k ppp nae bi is k badley boht kuch diya ha
23,1, ullo kay patha leader imran
24,1, yeh train to shahbaz shareef khud chala k laya tha
25,1," "" aap , jinab "" kay baad jab achanak "" tu "" "" tu "" ker kay baten shroo ker detay ha , to bohot bura , cheap , & amp ; annoying lagta hai . hsy kuchh adaab , tameez , aur mannerism bhi seekh lo ! "
26,1," "" aj to main bhee kahta hoon ya drama ha .... sorry waqas sahab ... bilal lishari ki apni soch ha kahan 16 crore ke waar or kahan 50crore ke yalghaar .. pesa hi zaya keya ha ... dil torney kelia thanks "" "
27,1, # sahil _ jaan bhai 1 fault hai es men ye cloud downloading ni krta
28,1, ( s i a s a s a t ) wo bhi pakistani jhoti siasat musalman ko munafiq bana deti hay . 
29,1, ( hgj ) pic clear nhi nazer a rhi bari pic 0t kro phir. Maza nahi aaya
30,1," , ye pti k khilaaf ya pak oar awam k sath zulm ki ibtada he . whts mean ek ? "
31,1, . resign do bhai topi drama nai chalega
32,1, ... itna zulam tou saas bahu k saat bhi nhi karti jitna brazil k saat ho rha hai . ........... khikhikhi
33,1, .... aur bohot si bewaqoof larkiyun ki bhi shaadi nahin honi chahiye jo apni ahmaqana herkaton say apna gher khud tabah kerti hain . jin ki sirf achi shakal honay ki waja say shaadi to hojati hai magar dimagh naam ki koi cheez nahin payee jaati un main . 
34,1, .. in k han koi kutta b marry to ilzam pakistan py he lagaty hai in sy kia takra .. 
35,1, .. jahangir tareen ke fateh se p . t . i khush fehmi ka shikar ho jye ge
36,1, .. sir kpk me road net work bahut bura he ... 
37,1, .. ﻿kuch loog ghatiya b to hotay han na
38,1, . iss tarah tau dr . aasim ki tarah imran khan ko bhi gariftaar karna banta hy . 
39,1, . sh . rasheed sahib pamist hain wo he ik ka haath deykh kr jawab dy sekty hain . 
40,1," . afridi look shahrukh sad hain . na rulao shahrukh ko ye to khud dunia mai khushain bant , ty hain . go lala go . "
41,1, . in zar paraston ne tu zinda awam k sath sath lashon k bhi saudy kiy in jahilon ko ab jo bhi vote dega woh bhi ahmaq hoga
42,1, . plz achy bating krna .... agar app jldy out ho jao to dill toot jta hh ... Mujhay pata ha achi karo gy to nahi
43,1, // paisa he khuda hy jang group ka . paisa do jooooooooo marzi kerwa lo in say
44,1, /// land mafia ki govt sarprasti karti hay . warna land mafia mai kiya himmat
45,1,1 originally 0ted by insafseeker kabhi research ker kay dekhna jaati umrah kaisay bana tha aur afzal khokhar malik shafi khokhar aur rauwind k mpa mna kaisay kaisay qabza ker k zameen dilwatay thay tao islamabad ki kachi abadian mamoli baat laga gee
46,1,1 bat tu btao reham khan ko b nhe pta k ik cocain peta tha tu phir hw u knw dis ... tmhara chachu ha
47,1,1 ganta agay karlo ya dus hourz kohi faraq nahi pharta log ossi time se khul rahe hai shop aur light utni hi ja rahi hai jitni pehle jati thi jab gov hi public k saath nahi to agay kiya ho sakta hai govt main govt k bari seat walo ko itna aram diya jata hai aur unke bill govt barti hai to unke gharo main dus dus to ac hote hai unko to kohi nahi dekta aur common people k pechey govt pari hai its not fair with us .......... 
48,1,1 ghanta agay karnay say kuch nai hua bal kay insan ko pareshaniyan uthani pari . 
49,1,1 hi recipe bar bar .. toba
50,1,1 niwala lene ke baad hi pani mangna parta hai . mujhe laga ke gosht pe masala bohot ziada lag jata hai jise ki waja se aisa bura hota hai . baki sabzi waghera ke sath ye shikayat nahi aai . 
51,1,"1 to ap ko hr waqt bhook lg jati hai, bury sy bura khana bhee khaa jaty ho."
52,1,"10 lakh choren , 5 din show ni chalay ga to kitny hi lakh jaeyn gy"
53,1,10 min me windows ye kesy mumkin hai zaror ye jugar hoga or jugar me nuksan he hota hai no way !!!!!!!!!! i will never try that
54,1,10 saal guzarnay kay baad drama boring hogya hai . dono larkiyan bari ho ker kuch zyada overacting ker rahi hain kyunkay script kaafi kamzor hai . jab aik chhoti si kahani ko zabardasti khench taan ker lamba kya jata hai to ye hashar hota hai . 
55,1,100 % truewo kapil idiot intehai bongayyyyyyyyyyyyy treen jokes krta aur stupid usi jaisayyy indianz ko hansi b ajati hai lolz
56,1,12000 qeemat hojai sub qmobile ki tareef karenge wo isliye ke is mobile ki asal jaga wo hi he .  
57,1,150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune bas apna nam show kia
58,1,150 bundy mulby taly daby hue heen ye bc reham pe program kar raha hee
